X	Feature Profile 1	X	Feature Profile 2	X	Feature Profile 3	X	Feature Profile 4	X	Feature Profile 5
18,7916547981	119,292446333	18,7916547981	113,716515967	18,7916547981	122,154978075	18,7916547981	111,567949495	18,7916547981	120,391331406
19,1914772404	119,184675666	19,1914772404	113,704795155	19,1914772404	122,095791241	19,1914772404	111,547298727	19,1914772404	120,343151104
19,5912996836	119,131269744	19,5912996836	113,685093432	19,5912996836	121,980117826	19,5912996836	111,571985924	19,5912996836	120,3070552
19,9911221258	119,075232177	19,9911221258	113,651389897	19,9911221258	121,921924815	19,9911221258	111,576538233	19,9911221258	120,232344032
20,3909445682	119,000016786	20,3909445682	113,63362701	20,3909445682	121,871497955	20,3909445682	111,580584448	20,3909445682	120,18014127
20,7907670105	118,934667569	20,7907670105	113,637620688	20,7907670105	121,80058379	20,7907670105	111,570579254	20,7907670105	120,098363056
21,1905894536	118,844357956	21,1905894536	113,608748911	21,1905894536	121,702498435	21,1905894536	111,569034804	21,1905894536	120,031917754
21,590411896	118,781707377	21,590411896	113,605854477	21,590411896	121,586196715	21,590411896	111,593591532	21,590411896	120,00057485
21,9902343383	118,704149307	21,9902343383	113,609221702	21,9902343383	121,480814842	21,9902343383	111,592699393	21,9902343383	120,005511186
22,3900567806	118,636173039	22,3900567806	113,603946803	22,3900567806	121,38592106	22,3900567806	111,577480964	22,3900567806	120,012738224
22,7898792237	118,554355102	22,7898792237	113,599892463	22,7898792237	121,311912656	22,7898792237	111,576590633	22,7898792237	120,03311561
23,1897016661	118,442429651	23,1897016661	113,607427558	23,1897016661	121,251531674	23,1897016661	111,619081758	23,1897016661	120,024539425
23,5895241084	118,338178835	23,5895241084	113,630948577	23,5895241084	121,193501687	23,5895241084	111,608055187	23,5895241084	119,984193145
23,9893465507	118,247670419	23,9893465507	113,622167878	23,9893465507	121,161756912	23,9893465507	111,63576762	23,9893465507	119,975977186
24,3891689939	118,161919683	24,3891689939	113,585154078	24,3891689939	121,103197082	24,3891689939	111,633883072	24,3891689939	119,969684493
24,7889914362	118,073193262	24,7889914362	113,546389435	24,7889914362	121,046282084	24,7889914362	111,652416416	24,7889914362	119,976460211
25,1888138785	117,990856349	25,1888138785	113,5486414	25,1888138785	120,982631261	25,1888138785	111,649759815	25,1888138785	119,96860062
25,5886363208	117,908147753	25,5886363208	113,555731475	25,5886363208	120,898957746	25,5886363208	111,637557171	25,5886363208	119,911317517
25,9884587631	117,769639916	25,9884587631	113,531384276	25,9884587631	120,886672935	25,9884587631	111,636770234	25,9884587631	119,872394724
26,3882812063	117,690962258	26,3882812063	113,503383623	26,3882812063	120,891307532	26,3882812063	111,66089796	26,3882812063	119,869160115
26,7881036486	117,574581864	26,7881036486	113,522221406	26,7881036486	120,868167858	26,7881036486	111,667468223	26,7881036486	119,808424269
27,1879260909	117,445648344	27,1879260909	113,486139635	27,1879260909	120,825788186	27,1879260909	111,677735032	27,1879260909	119,800832413
27,5877485332	117,348347591	27,5877485332	113,393734608	27,5877485332	120,779228908	27,5877485332	111,70452311	27,5877485332	119,769720815
27,9875709764	117,267208204	27,9875709764	113,372996097	27,9875709764	120,709141874	27,9875709764	111,7092106	27,9875709764	119,677651211
28,3873934187	117,182366246	28,3873934187	113,355400413	28,3873934187	120,634682915	28,3873934187	111,691228463	28,3873934187	119,603241573
28,787215861	117,126738085	28,787215861	113,32449101	28,787215861	120,568833966	28,787215861	111,676492996	28,787215861	119,51978552
29,1870383033	117,075647309	29,1870383033	113,228380152	29,1870383033	120,509263853	29,1870383033	111,663628214	29,1870383033	119,420147581
29,5868607465	117,018220676	29,5868607465	113,207015126	29,5868607465	120,423527256	29,5868607465	111,599602626	29,5868607465	119,33886411
29,9866831888	116,974422138	29,9866831888	113,164769732	29,9866831888	120,30674805	29,9866831888	111,621581482	29,9866831888	119,290465223
30,3865056311	116,936034389	30,3865056311	113,145581816	30,3865056311	120,211955344	30,3865056311	111,638142077	30,3865056311	119,217961668
30,7863280734	116,829604009	30,7863280734	113,111611941	30,7863280734	120,091406524	30,7863280734	111,635735214	30,7863280734	119,165437347
31,1861505166	116,703384819	31,1861505166	113,083833753	31,1861505166	119,914596987	31,1861505166	111,582693302	31,1861505166	119,145448141
31,5859729589	116,59604525	31,5859729589	113,08795715	31,5859729589	119,781124571	31,5859729589	111,519745244	31,5859729589	119,113929893
31,9857954012	116,505695988	31,9857954012	113,07455893	31,9857954012	119,679862255	31,9857954012	111,465387578	31,9857954012	119,088079598
32,3856178435	116,445601724	32,3856178435	113,019011782	32,3856178435	119,581600959	32,3856178435	111,43654355	32,3856178435	119,030383285
32,7854402867	116,336012602	32,7854402867	112,930376632	32,7854402867	119,47104459	32,7854402867	111,404537651	32,7854402867	118,965683291
33,185262729	116,247847456	33,185262729	112,83824455	33,185262729	119,369081052	33,185262729	111,367334157	33,185262729	118,891165823
33,5850851713	116,172515358	33,5850851713	112,752477515	33,5850851713	119,262488662	33,5850851713	111,34081634	33,5850851713	118,789653201
33,9849076136	116,13438656	33,9849076136	112,692619785	33,9849076136	119,169650273	33,9849076136	111,317822727	33,9849076136	118,709884672
34,384730056	116,1243356	34,384730056	112,637810463	34,384730056	119,064788787	34,384730056	111,291658694	34,384730056	118,622916803
34,7845524991	116,09261689	34,7845524991	112,572189195	34,7845524991	118,954899185	34,7845524991	111,247380479	34,7845524991	118,526966252
35,1843749414	116,047689023	35,1843749414	112,540245191	35,1843749414	118,82413547	35,1843749414	111,205288817	35,1843749414	118,456887799
35,5841973837	116,014194365	35,5841973837	112,515425492	35,5841973837	118,680674666	35,5841973837	111,164752941	35,5841973837	118,390876245
35,984019826	115,997497888	35,984019826	112,455914021	35,984019826	118,534456037	35,984019826	111,119870364	35,984019826	118,342743029
36,3838422692	115,972403508	36,3838422692	112,366616009	36,3838422692	118,405107252	36,3838422692	111,116187939	36,3838422692	118,252110235
36,7836647115	115,899031166	36,7836647115	112,297908931	36,7836647115	118,299473033	36,7836647115	111,076042106	36,7836647115	118,162665019
37,1834871539	115,873884851	37,1834871539	112,246936462	37,1834871539	118,16574219	37,1834871539	111,028309352	37,1834871539	118,089776044
37,5833095961	115,738792137	37,5833095961	112,169729193	37,5833095961	117,991434113	37,5833095961	110,970409773	37,5833095961	118,03799146
